Unnamed: 0,words,rmse,trend_points
318,commons.m_Template:Cc-by-nd-3.0,21.174923497828267,11
319,commons.m_Template:Cc-by-sa,24.588890892150463,10
320,commons.m_Template:Cc-by-sa-2.5,21.684499577236906,6
321,commons.m_Template:Cc-by-sa-4.0,20.783641295361786,8
322,commons.m_Template:Cc-by-sa-old,23.052097324060664,12
323,commons.m_Template:Centralized_discussion,23.736074351559964,9
324,commons.m_Template:Commons_policies_and_guidelines,21.797695814288808,7
325,commons.m_Template:Copyrighted-Layout,22.386456264158078,9
326,commons.m_Template:En,22.757768610609546,10
327,commons.m_Template:Fact_disputed,23.93495878893331,9
328,commons.m_Template:File_renaming_reasons/render,27.511215538173165,6
329,commons.m_Template:GFDL,24.965847182959628,8
330,commons.m_Template:Lang-VP,23.05332189958993,9
331,commons.m_Template:Money-JO,20.76691532058563,13
332,commons.m_Template:Not-PD-US-URAA,14.11651631487743,8
333,commons.m_Template:Object_location,20.748226485552962,10
334,commons.m_Template:PD-1923,21.811633760350407,5
335,commons.m_Template:PD-Hubble,26.582729890863014,10
336,commons.m_Template:PD-US,21.99680349273863,8
337,commons.m_Template:PD-US-unpublished,21.335751188782453,5
338,commons.m_Template:PD-USGov,24.12805292928395,9
339,commons.m_Template:PD-font,24.19752875796317,8
340,commons.m_Template:PD-ineligible,24.048725959912343,7
341,commons.m_Template:PD-old,21.973616104016646,6
342,commons.m_Template:PD-old-70,21.564745815736376,9
343,commons.m_Template:PD-self,22.52632510427241,7
344,commons.m_Template:PermissionOTRS,28.754506217762927,9
345,commons.m_Template:Personality_rights,27.853972752874647,7
346,commons.m_Template:Potd/2016-12-30_(en),21.555122205460854,7
347,commons.m_Template:Potd/2016-12-31_(en),21.24452364920284,8
348,commons.m_Template:Potd/2017-01-01_(en),22.43749804797941,9
349,commons.m_Template:Potd/2017-01-02_(en),22.25021584197948,8
350,commons.m_Template:Potd/2017-01-03_(en),22.159534652710036,8
351,commons.m_Template:Potd/2017-01-04_(en),21.824925491048518,8
352,commons.m_Template:Potd/2017-01-05_(en),22.40820482979541,9
353,commons.m_Template:Potd/2017-01-06_(en),22.43817776779004,9
354,commons.m_Template:Useful-object-US,20.734396197781027,9
355,commons.m_Template:Vector_version_available,30.580875062662912,4
356,commons.m_Template_talk:Cc-by-sa,21.685243069499435,12
357,commons.m_Template_talk:Centralized_discussion,19.35539041439969,10
358,commons.m_Template_talk:PD-textlogo,19.139993172101182,11
359,commons.m_Tepas,20.98173268034257,8
360,commons.m_Thâu-ia̍h,18.462832183114873,13
361,commons.m_Thèu-ya̍p,23.16854334052532,10
362,commons.m_Tuisblad,20.84718010618378,10
363,commons.m_Tungkaran_Tatambaian,20.239044335027565,10
364,commons.m_Tàu-hiĕk,19.30180072541589,10
365,commons.m_Unang_Pahina,24.25008836526113,9
366,commons.m_United_States,19.41421509985701,8
367,commons.m_User:1989,24.602668674024173,10
368,commons.m_User:Alexrk2,28.655792319846334,10
369,commons.m_User:Alvesgaspar,25.982024115911866,9
370,commons.m_User:Andy_Dingley,20.39617983240501,6
371,commons.m_User:Auntof6,25.390964580715565,11
372,commons.m_User:B25es,22.292615498019124,11
373,commons.m_User:Blackcat,24.144716701420275,7
374,commons.m_User:BotMultichillT,20.340880413375935,9
375,commons.m_User:Carnby,21.106578055969628,13
376,commons.m_User:Christian_Ferrer,22.28812791885184,12
377,commons.m_User:Darwinius,20.811429703747358,12
378,commons.m_User:Ellin_Beltz,26.894049375881554,9
379,commons.m_User:File_Upload_Bot_(Magnus_Manske),20.58988723180306,7
380,commons.m_User:Flickr_upload_bot,20.865160142810627,7
381,commons.m_User:GLavagetto_(WMF),24.29668689967711,12
382,commons.m_User:George_Shuklin,24.337989964322514,9
383,commons.m_User:Gestumblindi,20.979000910056435,11
384,commons.m_User:Ghouston,24.28790048021851,9
385,commons.m_User:Ghybu,19.68061207373789,7
386,commons.m_User:H-stt,21.986964359552875,10
387,commons.m_User:Hedwig_in_Washington,22.437380994999536,10
388,commons.m_User:Huntster,28.96747909527892,9
389,commons.m_User:Jameslwoodward,24.674971051761023,7
390,commons.m_User:Jane023,20.844336816224047,9
391,commons.m_User:Jastrow,12.620617382709534,7
392,commons.m_User:Jdx,19.16231827897009,9
393,commons.m_User:Jkadavoor,26.028804976195946,9
394,commons.m_User:Johnbod,27.712471168008022,9
395,commons.m_User:Jonathan_Cardy,21.880802055112934,9
396,commons.m_User:Jos1950,23.978372127045866,9
397,commons.m_User:Josve05a,20.977038310501516,8
398,commons.m_User:JuTa,21.342069806984032,7
399,commons.m_User:JurgenNL/speedy,28.722222644178252,6
400,commons.m_User:Kaldari,22.687684264703368,9
401,commons.m_User:LX,23.61980368890793,8
402,commons.m_User:Magog_the_Ogre,25.007957988484502,5
403,commons.m_User:Multichill,17.727708694717453,11
404,commons.m_User:Natuur12,24.09284389154623,7
405,commons.m_User:Nemo_bis,21.840560331914183,11
406,commons.m_User:Nick,21.410189199136227,11
407,commons.m_User:NordNordWest,17.026878403480794,6
408,commons.m_User:Panoramio_upload_bot,16.27132242698902,3
409,commons.m_User:Perhelion,19.551641396759653,9
410,commons.m_User:Pigsonthewing,21.51887653063152,9
411,commons.m_User:Pokéfan95,26.350145096674925,10
412,commons.m_User:Revent,20.0244396299271,10
413,commons.m_User:Rimshot,23.36881204083471,9
414,commons.m_User:Sdepares,22.385459897647227,8
415,commons.m_User:Seedfeeder,19.39340318665957,5
416,commons.m_User:Sitacuisses,23.969718118896346,9
417,commons.m_User:Slowking4,25.706918889251977,7
418,commons.m_User:Speravir,23.44035530913579,13
419,commons.m_User:Steinsplitter,20.13724808933208,11
420,commons.m_User:Stolbovsky,19.02347439953328,14
421,commons.m_User:Sunpriat,22.027032794833932,9
422,commons.m_User:TheDJ,25.10239317821408,9
423,commons.m_User:Themightyquill,24.910118340973447,8
424,commons.m_User:Victuallers,24.72403809500159,11
425,commons.m_User:Wikimedia_Commons_Welcome,14.06858250686424,9
426,commons.m_User:WiseWoman,21.539222864903607,10
427,commons.m_User:Yann,17.821251337819366,12
428,commons.m_User:Yurik,20.355076001279546,10
429,commons.m_User:Zhuyifei1999,22.62219451495687,7
430,commons.m_User:ŠJů,23.02675262467874,9
431,commons.m_User_talk:Alexrk2,23.18812419277957,12
432,commons.m_User_talk:Auntof6,24.51583219158546,9
